"","X_id","Institution.Name","Institution.Address","Outbreak.Setting","Type.of.Outbreak","Causative.Agent.1","Causative.Agent.2","Date.Outbreak.Began","Date.Declared.Over","Active"
"98",98,"Extendicare Rouge Valley - 2nd Fl Morningside","551 Conlins Rd","LTCH","Respiratory","COVID-19","","2022-12-09","2023-01-03","N"
"99",99,"Fieldstone Commons Care Community - 2B","1000 Ellesmere Rd","LTCH","Respiratory","COVID-19","","2022-12-09","","Y"
"100",100,"Kensington Gardens - South Building - 1E, 2E & 2W","25 Brunswick Ave","LTCH","Enteric","Unable to identify","","2022-12-09","2022-12-15","N"
"101",101,"Lakeshore Lodge - 3N, 4S & 4N","3197 Lakeshore Blvd","LTCH","Respiratory","COVID-19","","2022-12-09","2023-01-03","N"
"102",102,"University Health Network - Toronto General - 7MA","200 Elizabeth Street","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-09","2022-12-20","N"
"103",103,"West Park Healthcare Centre - ABI (Acquired Brain Injury)","82 Buttonwood Avenue","Hospital-Chronic Care","Respiratory","COVID-19","","2022-12-09","2022-12-19","N"
"104",104,"Ehtare Retirement Home - 1st, 2nd & 3rd Fl","40 Old Kingston Rd","Retirement Home","Enteric","Norovirus-like","","2022-12-08","2022-12-26","N"
"105",105,"Extendicare Rouge Valley - 2nd Fl Cedar Ridge & 3rd Fl Meadowvale","551 Conlins Rd","LTCH","Respiratory","Respiratory syncytial virus","Enterovirus/Rhinovirus","2022-12-08","2023-01-03","N"
"106",106,"Lakeshore Lodge - 2 North, 3 North, 3 South & 4 South","3197 Lakeshore Blvd","LTCH","Respiratory","Influenza A (Not subtyped)","","2022-12-08","2022-12-20","N"
"107",107,"Seven Oaks - 5th Fl","9 Neilson Rd","LTCH","Respiratory","COVID-19","","2022-12-08","","Y"
"108",108,"Sherbourne Place - 4th Fl","345 Sherbourne St","LTCH","Respiratory","COVID-19","","2022-12-08","2022-12-22","N"
"109",109,"The Teddington Retirement Residence - 2nd & 5th Fl","4 Teddington Park Ave","Retirement Home","Respiratory","Respiratory syncytial virus","","2022-12-08","2022-12-24","N"
"110",110,"Bendale Acres - 1W/CSU & 2nd Fl East","2920 Lawrence Ave E","LTCH","Respiratory","Coronavirus*","","2022-12-07","2022-12-28","N"
"111",111,"Isabel and Arthur Meighen Manor - Coombs Unit","155 Millwood Rd","LTCH","Respiratory","COVID-19","","2022-12-07","2022-12-16","N"
"112",112,"Rose of Sharon Korean Long Term Care - 5th & 6th Fl","17 Maplewood Ave","LTCH","Respiratory","COVID-19","","2022-12-07","2023-01-13","N"
"113",113,"Sinai Health System - Hennick Bridgepoint - 9N","1 Bridgepoint Dr","Hospital-Chronic Care","Respiratory","COVID-19","","2022-12-07","2022-12-23","N"
"114",114,"St. Bernard's Residence - 3rd Fl","685 Finch Avenue","Retirement Home","Respiratory","COVID-19","","2022-12-07","2022-12-23","N"
"115",115,"Unity Health Toronto - Providence - B3","3276 St. Clair Avenue East","Hospital-Chronic Care","Respiratory","COVID-19","","2022-12-07","2022-12-16","N"
"116",116,"Hazelton Place Retirement Residence - 2nd & 6th Fl","111 Avenue Rd","Retirement Home","Respiratory","COVID-19","","2022-12-06","2022-12-22","N"
"117",117,"Humber River Hospital - Wilson - 13 West","1235 Wilson Avenue","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-06","2022-12-17","N"
"118",118,"True Davidson Acres - 3rd Fl","200 Dawes Rd","LTCH","Respiratory","COVID-19","","2022-12-06","","Y"
"119",119,"Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 2nd Fl East","500 Kingston Rd.","Hospital-Chronic Care","Respiratory","COVID-19","","2022-12-05","2022-12-20","N"
"120",120,"One Kenton Place - Activities Rm Main Fl & 3rd Fl","1-3 Kenton Dr","Retirement Home","Respiratory","Rhinovirus","","2022-12-05","2022-12-12","N"
"121",121,"RCC - Mackenzie Health Hospital - Finch Site - 3 East","2111 Finch Ave W","Hospital-Chronic Care","Respiratory","COVID-19","","2022-12-05","2022-12-23","N"
"122",122,"The Village of Humber Heights - Alderwood, Brule & Lambton","2245 Lawrence Ave W","LTCH","Respiratory","Influenza A (Not subtyped)","","2022-12-05","2022-12-22","N"
"123",123,"University Health Network - Toronto General - 14ES","200 Elizabeth Street","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-05","2022-12-17","N"
"124",124,"Unity Health Toronto - Houses of Providence - Maple House - 1st Fl West","3276 St Clair Ave E","LTCH","Respiratory","COVID-19","","2022-12-04","2022-12-29","N"
"125",125,"Leaside Retirement Residence - Bldg 10, 2nd Fl","10 -14 William Morgan Drive","Retirement Home","Respiratory","COVID-19","","2022-12-03","2023-01-16","N"
"126",126,"The Village of Humber Heights - Lambton, Brule, Wadsworth & Alderwood","2245 Lawrence Ave W","LTCH","Respiratory","COVID-19","","2022-12-03","","Y"
"127",127,"Villa Colombo Homes for the Aged - 1st Fl Fidani","40 Playfair Ave","LTCH","Respiratory","COVID-19","","2022-12-03","2022-12-21","N"
"128",128,"Elm Grove Living Centre - 2nd Fl","35 Elm Grove Ave","LTCH","Respiratory","Respiratory syncytial virus","","2022-12-02","2022-12-13","N"
"129",129,"Harold and Grace Baker Centre - 3rd Fl","1 Northwestern Avenue","Retirement Home","Respiratory","COVID-19","","2022-12-02","2022-12-20","N"
"130",130,"William Osler Health System - NICU","101 Humber College Blvd","Hospital-Acute Care","Other","Unable to identify","","2022-12-02","2022-12-21","N"
"131",131,"Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 1st Fl","500 Kingston Rd","Hospital-Chronic Care","Respiratory","COVID-19","","2022-12-01","2022-12-20","N"
"132",132,"Mon Sheong Scarborough Long Term Care Centre - 3 South","2030 McNicoll Ave","LTCH","Respiratory","COVID-19","","2022-12-01","2022-12-11","N"
"133",133,"Toronto East Health Network - Michael Garron Hospital - B2","825 Coxwell Ave","Hospital-Acute Care","Respiratory","Influenza A (Not subtyped)","","2022-12-01","2022-12-15","N"
"134",134,"Castleview Wychwood Towers - 7th Fl","351 Christie St","LTCH","Respiratory","Influenza A (H3)","","2022-11-30","2022-12-09","N"
"135",135,"Extendicare Guildwood - East Wing & West Wing Spur 1","60 Guildwood Pky","LTCH","Respiratory","Influenza A (Not subtyped)","","2022-11-30","2022-12-14","N"
"136",136,"Isabel and Arthur Meighen Manor - Lawrence & Fisher Unit","155 Millwood Rd","LTCH","Respiratory","Influenza A (H3)","","2022-11-30","2022-12-16","N"
"137",137,"Lakeshore Lodge - 2nd Fl South","3197 Lakeshore Blvd W","LTCH","Respiratory","Influenza A (H3)","","2022-11-30","2022-12-05","N"
"138",138,"Nisbet Lodge - 3rd & 6th Fl","740 Pape Ave","LTCH","Respiratory","Respiratory syncytial virus","","2022-11-30","2022-12-30","N"
"139",139,"Rayoak Place - 1st Fl","1340 York Mills Rd","Retirement Home","Respiratory","COVID-19","","2022-11-30","2022-12-18","N"
"140",140,"Suomi Koti Nursing Home - 7th Fl","795 Eglinton Ave E","LTCH","Respiratory","Unable to identify","","2022-11-30","2022-12-16","N"
"141",141,"Terraces of Baycrest - 5th Fl","55 Ameer Ave","Retirement Home","Respiratory","COVID-19","","2022-11-30","2022-12-15","N"
"142",142,"Weston Terrace Care Community - 2A","2005 Lawrence Ave W","LTCH","Respiratory","Influenza A (Not subtyped)","","2022-11-30","2022-12-06","N"
"143",143,"Baycrest Hospital - North York - 6W","3560 Bathurst Street","Hospital-Chronic Care","Respiratory","COVID-19","","2022-11-29","2022-12-08","N"
"144",144,"Canterbury Place Retirement Residence - 5th Fl","1 Canterbury Pl","Retirement Home","Respiratory","Influenza A (H3)","","2022-11-29","2022-12-05","N"
"145",145,"Fountain View Care Community - 3A","1800 O'Connor Dr","LTCH","Respiratory","COVID-19","","2022-11-29","2022-12-19","N"
"146",146,"Kipling Acres - 3S Alders","2233 Kipling Ave","LTCH","Enteric","Unable to identify","","2022-11-29","2022-12-09","N"
"147",147,"Sinai Health System - Hennick Bridgepoint - 10N","1 Bridgepoint Dr","Hospital-Chronic Care","Respiratory","COVID-19","","2022-11-29","2022-12-10","N"
"148",148,"Sinai Health System - Hennick Bridgepoint - 8S","1 Bridgepoint Dr","Hospital-Chronic Care","Respiratory","COVID-19","","2022-11-29","2022-12-14","N"
"149",149,"Sunnybrook Health Sciences Centre - Bayview Campus - C6","2075 Bayview Avenue","Hospital-Acute Care","Respiratory","COVID-19","","2022-11-29","2022-12-11","N"
"150",150,"Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LGSE","2075 Bayview Ave","LTCH","Respiratory","COVID-19","","2022-11-29","2022-12-09","N"
"151",151,"Unity Health Toronto - St. Joseph's Health Centre - 4M","30 The Queensway","Hospital-Acute Care","Respiratory","Influenza A (H3)","","2022-11-29","2022-12-07","N"
"152",152,"Westside - 2nd Fl","1145 Albion Rd","LTCH","Respiratory","Influenza A (Not subtyped)","","2022-11-29","2022-12-08","N"
"153",153,"Delmanor Northtown - 2nd, 4th & 5th Fl","5351 Yonge St","Retirement Home","Respiratory","COVID-19","","2022-11-28","2022-12-12","N"
"154",154,"Harold And Grace Baker Centre - A-Wing","1 Northwestern Ave","LTCH","Enteric","Unable to identify","","2022-11-28","2022-12-02","N"
"155",155,"Harold and Grace Baker Centre","1 Northwestern Ave","Retirement Home","Respiratory","Unable to identify","","2022-11-28","2022-12-21","N"
"156",156,"Harold and Grace Baker Centre - C Wing","1 Northwestern Ave","LTCH","Respiratory","Unable to identify","","2022-11-28","2022-12-13","N"
"157",157,"Leaside Retirement Residence - Building 10, 3rd, 5th & 7th Fl","10-14 William Morgan Dr","Retirement Home","Respiratory","Influenza A (Not subtyped)","Rhinovirus, Respiratory syncytial virus","2022-11-28","2022-12-19","N"
"158",158,"Mon Sheong Foundation - 3 South","2030 McNicoll Ave","LTCH","Respiratory","Influenza A (Not subtyped)","","2022-11-28","2022-12-10","N"
"159",159,"Rockcliffe Care Community - Scarborough - 3rd Fl","3015 Lawrence Ave E","LTCH","Respiratory","COVID-19","","2022-11-28","2022-12-07","N"
"160",160,"Shepherd Terrace Retirement Residence - 3rd Fl","3758 Sheppard Avenue E","Retirement Home","Respiratory","COVID-19","","2022-11-28","2023-01-03","N"
"161",161,"Chartwell Gibson Long Term Care Residence - 1st Fl","1925 Steeles Ave E","LTCH","Respiratory","Respiratory syncytial virus","","2022-11-27","2022-12-15","N"
"162",162,"Jewish Home for the Aged - North York - 6RF","3560 Bathurst St","LTCH","Respiratory","COVID-19","","2022-11-27","2022-12-08","N"
"163",163,"Unity Health Toronto - Providence - A3","3276 St. Clair Avenue East","Hospital-Acute Care","Respiratory","COVID-19","","2022-11-27","2022-12-06","N"
"164",164,"University Health Network - Toronto Western - 8A","399 Bathurst Street","Hospital-Acute Care","Respiratory","COVID-19","","2022-11-26","2022-12-22","N"
"165",165,"Wesburn Manor - Etobicoke - 2nd Fl","400 The West Mall","LTCH","Respiratory","COVID-19","","2022-11-26","2022-12-05","N"
"166",166,"Weston Gardens Retirement Residence - 4th Fl","303 Queens Dr","Retirement Home","Respiratory","Influenza A (Not subtyped)","","2022-11-26","","Y"
"167",167,"Advent Forestview Retirement Residence - 2nd Fl","537 Finch Avenue","Retirement Home","Respiratory","COVID-19","","2022-11-25","2022-12-05","N"
"168",168,"Bill McMurray Residence - 2nd Fl","180 Sheridan Ave","Retirement Home","Respiratory","COVID-19","","2022-11-25","2022-12-12","N"
"169",169,"Sinai Health System - Hennick Bridgepoint - 7N","1 Bridgepoint Dr","Hospital-Chronic Care","Respiratory","COVID-19","","2022-11-25","2022-12-13","N"
"170",170,"Villa Colombo - 4 Fusco West, 4 Fusco North, 4 Fusco South & 4 Fidani","40 Playfair Ave","LTCH","Respiratory","Respiratory syncytial virus","Parainfluenza","2022-11-25","2022-12-20","N"
"171",171,"Baycrest Hospital - North York - H5W","3560 Bathurst Street","Hospital-Chronic Care","Respiratory","COVID-19","","2022-11-24","2022-12-06","N"
"172",172,"Christie Gardens - Annex & Cedarvale Neighborhood","600 Melita Cres","Retirement Home","Respiratory","COVID-19","","2022-11-24","2022-12-13","N"
"173",173,"North Park Nursing Home","450 Rustic Rd","LTCH","Respiratory","Influenza A (Not subtyped)","","2022-11-24","2022-12-06","N"
"174",174,"Sinai Health System - Hennick Bridgepoint - 7S","1 Bridgepoint Dr","Hospital-Chronic Care","Respiratory","COVID-19","","2022-11-24","2022-12-13","N"
"175",175,"Terraces of Baycrest - 2nd Fl","55 Ameer Ave","Retirement Home","Respiratory","COVID-19","","2022-11-24","2022-12-15","N"
